 ['Mikhail Povaliaev', '146', '11.42'],
 ['Joseph Gardner', '147', '11.47'],
 ['Roko Krpina', '148', '11.53'],
 ['Ethan Guo', '149', '11.55'],
 ['Arda Akkoyun', '150', '11.59'],
 ['Tim Rogersson', '151', '11.60'],
 ['Jack Armour', '152', '11.78'],
 ['Cooper Dillman', '153', '11.81'],
 ['Henry Guo', '154', '11.85'],
 ['Abe Astle', '155', '11.87'],
 ['George Gonzalez', '156', '11.98'],
 ['Granger Bartee', '157', '11.99'],
 ['David Mutter', '158', '12.00'],
 ['Alan Gonzalez Torres', '158', '12.00'],
 ['Jack Rutledge', '158', '12.00'],
 ['Seth Collet', '161', '12.04'],
 ['Akos Horvath', '162', '12.09'],
 ['Ethan Silver', '163', '12.15'],
 ['Charlie Greenwood', '164', '12.28'],
 ['Antoine Destang', '165', '12.30'],
 ['Maximus Goettsch', '166', '12.35'],
 ['Sebastian Sand Gottlieb', '167', '12.36'],
 ['Jackson Scheiber', '168', '12.41'],
 ['Evan Witte', '169', '12.53'],
 ['Jonathan Hoole', '170', '12.59'],
 ['Aaron Jia', '171', '12.60'],
 ['Cohen Barron Chiam', '172', '12.63'],
 ['Carter Jewell', '173', '12.65'],
 ['Henry Webb', '174', '12.71'],
 ['Evan Conti', '175', '12.72'],
 ['Nathan Thomas', '175', '12.72'],
 ['Aaron Davidson', '177', '12.77'],
 ['Ben Winterborn', '178', '12.90'],
 ['Emi Zamudio', '179', '12.95'],
 ['Brody Singley', '180', '13.02'],
 ['Ethan Kosin', '181', '13.04'],
 ['Jack Boysen', '182', '13.05'],
 ['David Kovacs', '183', '13.12'],
 ['Wesley Foster', '184', '13.13'],
 ['Gavin Sheyda', '185', '13.21'],
 ['Jackson Tishler', '186', '13.25'],
 ['Luke Lamb', '187', '13.33'],
 ['Adam Graham', '188', '13.35'],
 ['Giulio Ligori', '189', '13.42'],
 ['Noah Mudadu', '190', '13.44'],
 ['Seth Crow', '191', '13.45'],
 ['Wells Cloud', '192', '13.49'],
 ['Kjell Cady', '193', '13.50'],
 ['Eli Rolfsen', '194', '13.53'],
 ['Cameron York', '195', '13.56'],
 ['Kayden Hedrick', '196', '13.57'],
 ['Clay Baumann', '197', '13.59'],
 ['James Gauci', '198', '13.69'],
 ['Ege Altan', '199', '13.70'],
 ['Luke Sandberg', '200', '13.71'],
 ['Cade Anderson', '201', '13.75'],
 ['Marius Tholstrup', '202', '13.77'],
 ['Ethan Reniewicki', '203', '13.89'],
 ['Owen Stevens', '204', '13.91'],
 ['Jaeger Ellerman', '204', '13.91'],
 ['Jake Tarara', '206', '14.01'],
 ['Can Corumlu', '207', '14.04'],
 ['Benton Grutter', '208', '14.07'],
 ['Stefan Steyn', '208', '14.07'],
 ['Charlie Kulp', '210', '14.08'],
 ['Bora Cabbar', '211', '14.13'],
 ['Emre Aktas', '211', '14.13'],
 ['Declan Kelly', '213', '14.16'],
 ['Haru Yamagata', '214', '14.19'],
 ['Ethan Schutten', '214', '14.19'],
 ['Burhanettin Hacisagir', '216', '14.28'],
 ['Connor Wickerham', '217', '14.29'],
 ['Alex Townsend', '218', '14.30'],
 ['Gabe Jones', '219', '14.32'],
 ['Zach Power', '220', '14.41'],
 ['Henrik Kraemer', '221', '14.53'],
 ['Luke Bucaro', '222', '14.55'],
 ['Blazej Dworakowski', '223', '14.56'],
 ['Zergio Quevedo', '224', '14.64'],
 ['Benedek Toth', '225', '14.65'],
 ['KEREM ILYEM', '226', '14.67'],
 ['Benjamin Butler', '227', '14.68'],
 ['Kyle Kengla', '228', '14.69'],
 ['Andrew Coombs', '229', '14.76'],
 ['Jake Salcedo', '230', '14.80'],
 ['Denis O&#x27;Brien', '231', '14.83'],
 ['Henry Shoemaker', '232', '14.85'],
 ['Trevor Boodt', '233', '14.91'],
 ['Zach Tower', '234', '14.95'],
 ['Drew Ploof', '235', '15.01'],
 ['James Lau', '236', '15.02'],
 ['Francis Brennan', '237', '15.08'],
 ['Duke Garvin', '238', '15.13'],
 ['Alex Heinrich', '239', '15.19'],
 ['Lukas Paegle', '240', '15.26'],
 ['Jihoon Jung', '241', '15.27'],
 ['Cheung Ryan', '242', '15.28'],
 ['Ben Ohrr', '243', '15.30'],
 ['Daren Chen', '244', '15.31'],
 ['Grzegorz Czogala', '244', '15.31'],
 ['Francisco Goya', '246', '15.36'],
 ['Felipe Lira', '247', '15.38'],
 ['Max Buff', '247', '15.38'],
 ['Anderson Kopp', '249', '15.42'],
 ['Gherman Prudnikau', '249', '15.42'],
 ['Hayden Hakes', '251', '15.43'],
 ['George Groves', '252', '15.45'],
 ['Blair McKitrick', '252', '15.45'],
 ['Vito Rados', '254', '15.47'],
 ['Victor Teeters', '254', '15.47'],
 ['Drew Gaerthofner', '256', '15.48'],
 ['Luke Amerson', '256', '15.48'],
 ['tyler Grafmiller', '258', '15.49'],
 ['David Gal', '259', '15.52'],
 ['Paul Hebrard', '260', '15.55'],
 ['Efe Guler', '260', '15.55'],
 ['John Kroll', '262', '15.56'],
 ['Grga Brkljacic', '263', '15.57'],
 ['Luke Leon Guerrero', '264', '15.58'],
 ['Abhay Tharakan', '265', '15.62'],
 ['Yusuf Arda Sekerci', '266', '15.63'],
 ['Alejandro Varon', '267', '15.65'],
 ['Pippin Kantakom', '267', '15.65'],
 ['Matija Radjenovic', '269', '15.66'],
 ['Duncan Henderson', '269', '15.66'],
 ['Russell Loo', '271', '15.68'],
 ['Vincent Passek', '272', '15.72'],
 ['Evan Wong', '273', '15.74'],
 ['Zackariah Boulaajoul', '274', '15.79'],
 ['Daniel Zarafshan', '274', '15.79'],
 ['DongQi Yu', '276', '15.84'],
 ['Braedon Ando', '277', '15.85'],
 ['Will Chen', '278', '15.86'],
 ['Christopher Weidner', '279', '15.90'],
 ['Deacon Gutshall', '280', '15.93'],
 ['Jaiden Sreenivasan', '280', '15.93'],
 ['Isaac Holtham', '282', '15.96'],
 ['Dane Weber', '282', '15.96'],
 ['X Rose', '284', '15.97'],
 ['Nick Fabian', '285', '15.99'],
 ['Thomas Matheson', '286', '16.00'],
 ['Aaron Gordon', '287', '16.02'],
 ['Mohamed Ayman', '288', '16.04'],
 ['Rafał Mienicki', '288', '16.04'],
 ['Roberto Zarate', '290', '16.06'],
 ['Luke Garrett', '291', '16.08'],
 ['Ahmet Soker', '292', '16.10'],
 ['Leonel Cerda', '293', '16.14'],
 ['Isaac Carr', '294', '16.18'],
 ['Jack Haley', '295', '16.20'],
 ['Ari Azrad', '296', '16.23'],
 ['Landon Egeland', '297', '16.24'],
 ['Cota Clise', '298', '16.25'],
 ['Alexander Primavera', '299', '16.29'],
 ['Luke Hartman', '300', '16.30'],
 ['Alston Qin', '301', '16.31'],
 ['Matthew Rose', '302', '16.33'],
 ['Alex Nguyen', '302', '16.33'],
 ['Stuart Timmerman', '304', '16.34'],
 ['Emanuele Zingaro', '305', '16.37'],
 ['Brody LePine', '306', '16.39'],
 ['Owen Waibel', '307', '16.42'],
 ['Dawid Malik', '308', '16.44'],
 ['Andy Baklanov', '309', '16.46'],
 ['Lucas Bailey', '310', '16.49'],
 ['Nathan Jacobbe', '311', '16.54'],
 ['Matt Krause', '312', '16.62'],
 ['Nikolass Deicmans', '313', '16.64'],
 ['Zack Bowie', '313', '16.64'],
 ['Kiet Kong', '315', '16.66'],
 ['Andrew Chou', '316', '16.68'],
 ['Leo Arrowsmith', '317', '16.70'],
 ['Lucca Ferreira', '317', '16.70'],
 ['Walter Kueffer', '319', '16.73'],
 ['Ethan DiFronzo', '320', '16.74'],
 ['Reid Magner', '321', '16.80'],
 ['Pavel Batinov', '321', '16.80'],
 ['David Kushnirsky', '323', '16.81'],
 ['Blair Roper', '323', '16.81'],
 ['Bryce Labonte', '325', '16.85'],
 ['Trent Hollandsworth', '325', '16.85'],
 ['Atakan Ercan', '327', '16.86'],
 ['Jordan Falls', '328', '16.88'],
 ['Joshua Lopez', '329', '16.89'],
 ['Tarık Tekinkus', '330', '16.93'],
 ['Dylan Ferguson', '331', '16.98'],
 ['Quinn MacPhail', '332', '17.01'],
 ['Aidan Arie', '333', '17.03'],
 ['Brian Lee', '334', '17.04'],
 ['Mason Francis', '335', '17.05'],
 ['Ryan Griffith', '336', '17.08'],
 ['Rory O&#x27;Connor', '336', '17.08'],
 ['Cody Lonsberry', '338', '17.10'],
 ['Joe Wey', '339', '17.11'],
 ['Ethan Zhang', '340', '17.15'],
 ['Rohayem Tolba', '340', '17.15'],
 ['Aiden Gyorfi', '340', '17.15'],
 ['Billy Connor', '343', '17.17'],
 ['Yochanan Meza', '344', '17.19'],
 ['Thad Austin', '345', '17.20'],
 ['Ian Combs', '346', '17.22'],
 ['Made Aubrey Jaya', '346', '17.22'],
 ['Andres Brooks', '348', '17.25'],
 ['Cooper Burt', '349', '17.31'],
 ['Tobin Uhl', '350', '17.32'],
 ['Marul Boko', '350', '17.32'],
 ['Tenzin Wangpo', '352', '17.34'],
 ['Noah Weaver', '353', '17.37'],
 ['Soren Koschmann', '354', '17.38'],
 ['Will Cicco', '355', '17.41'],
 ['Lucas Hubbard', '356', '17.44'],
 ['Edward Stoltz', '357', '17.47'],
 ['Zack Arnold', '358', '17.50'],
 ['Daniel Seong', '359', '17.53'],
 ['Liam Mulroy', '359', '17.53'],
 ['Langston Duncan', '361', '17.54'],
 ['Tanner Innis', '362', '17.57'],
 ['Eric Huang', '363', '17.59'],
 ['Daniel Williams', '364', '17.61'],
 ['Daniel King', '365', '17.62'],
 ['Gabe Cowart', '366', '17.64'],
 ['Henry Heit', '367', '17.65'],
 ['Tyler Barritt', '368', '17.66'],
 ['Jackson Kogler', '368', '17.66'],
 ['Lincoln Council', '370', '17.73'],
 ['Quinn Caputo', '371', '17.82'],
 ['Rex Biebel', '372', '17.86'],
 ['Rayburn Kohl', '372', '17.86'],
 ['Francisco Montano', '374', '17.88'],
 ['Ben Madson', '375', '17.89'],
 ['Eren Sezgin', '376', '17.90'],
 ['Steven Ma', '376', '17.90'],
 ['Sirui Wang', '378', '17.96'],
 ['Tristan Dorville', '379', '17.97'],
 ['Jonah Medvinsky', '380', '17.98'],
 ['Jack Hackler', '381', '18.04'],
 ['Goh Li Jie', '381', '18.04'],
 ['Kayan Oliveira', '381', '18.04'],
 ['Peter Shih', '384', '18.05'],
 ['Sota Kawahata', '385', '18.07'],
 ['Ozgur Yonca', '386', '18.09'],
 ['Matheus Rinaldi', '387', '18.10'],
 ['ALEX Park', '388', '18.13'],
 ['Shea Skarda', '389', '18.14'],
 ['Lucas Li', '390', '18.15'],
 ['Matthew Lowe', '391', '18.16'],
 ['Kevin Yum', '392', '18.17'],
 ['Ege Guldag', '393', '18.19'],
 ['Julian Ithier', '394', '18.22'],
 ['Matt Cinque', '395', '18.24'],
 ['Keiran Dyck', '396', '18.26'],
 ['Bailey Simmons', '397', '18.27'],
 ['Aleks Stoinov', '398', '18.31'],
 ['Thai Koehnle', '398', '18.31'],
 ['George Ivascu', '400', '18.34'],
 ['Kende Adorjan', '401', '18.38'],
 ['Caleb Gallagher', '402', '18.44'],
 ['Rodrigo Borges', '403', '18.47'],
 ['Luke Parsons', '404', '18.48'],
 ['Camille Trinquesse', '405', '18.49'],
 ['Bartu Akin', '406', '18.54'],
 ['Zsombor Paksi', '407', '18.56'],
 ['Sarp Can Tezel', '408', '18.57'],
 ['Parker Deshayes', '409', '18.58'],
