 ['Mason Crowley', '148', '27.01'],
 ['Landon Hall', '149', '27.07'],
 ['Alex Koo', '150', '27.14'],
 ['Ty Thomas', '151', '27.16'],
 ['Brody Reber', '152', '27.23'],
 ['Owen Stauffer', '153', '27.32'],
 ['Yehor Maistruk', '154', '27.43'],
 ['Jake MacPhail', '155', '27.67'],
 ['Aiden Yeo', '156', '27.71'],
 ['Owen Gjertsen', '157', '27.91'],
 ['Jonathan Feole-Haughey', '158', '28.04'],
 ['Chase Kendall', '159', '28.06'],
 ['Issac Adanin', '160', '28.21'],
 ['Benson Her', '161', '28.22'],
 ['Dmitriy Oranskiy', '162', '28.23'],
 ['Camp Hartman', '163', '28.39'],
 ['Zach Welch', '164', '28.41'],
 ['Bartek Karwat', '165', '28.55'],
 ['Josh Farnsworth', '166', '28.56'],
 ['Braden Meurer', '167', '28.58'],
 ['Leo Tran', '168', '28.63'],
 ['Ian Foulk', '169', '28.67'],
 ['Kyle Tsuei', '170', '28.74'],
 ['Dylan Stewart', '171', '28.78'],
 ['Gabi Pelinkovic', '172', '28.85'],
 ['Walter Pedersen', '173', '28.87'],
 ['Max Laine', '174', '29.00'],
 ['Cole Tobin', '175', '29.06'],
 ['Ben Hansen', '176', '29.07'],
 ['Thomas Smith', '177', '29.08'],
 ['Jonathon Packard', '178', '29.11'],
 ['Väinö Hinkka', '179', '29.14'],
 ['Charlie Wang', '180', '29.18'],
 ['Brian He', '181', '29.29'],
 ['Harrison McClure', '182', '29.31'],
 ['Dimitar Dokuzov', '183', '29.38'],
 ['Logan Loppnow', '184', '29.40'],
 ['Harrison Tater', '185', '29.46'],
 ['Connor Muran', '186', '29.51'],
 ['Parker Hebert', '186', '29.51'],
 ['Julian Rusk', '188', '29.57'],
 ['Ethan Chinea', '189', '29.61'],
 ['Jerry Lou', '190', '29.63'],
 ['Finn Conley', '191', '29.96'],
 ['Dylan Yang', '192', '30.02'],
 ['Kaya Uzunkaya', '193', '30.05'],
 ['Carson Phifer', '194', '30.15'],
 ['Alex Allocco', '195', '30.17'],
 ['Cullen McGraw', '196', '30.19'],
 ['Kohlston Katz', '197', '30.24'],
 ['Grant Smith', '198', '30.27'],
 ['Nathaniel Spencer', '199', '30.30'],
 ['Kealan Tupper', '200', '30.32'],
 ['Drew Hopkins', '201', '30.38'],
 ['Koehn Boyd', '202', '30.41'],
 ['Colin Michaud', '203', '30.42'],
 ['Corbin Bye', '204', '30.65'],
 ['Charles Knoepp', '205', '30.67'],
 ['Gregory Ospina', '206', '30.70'],
 ['Henry Yang', '207', '30.76'],
 ['Ben Franks', '208', '30.78'],
 ['Claudio Domiter', '209', '30.92'],
 ['Cy Gallion', '210', '30.93'],
 ['Ethan Meeker', '211', '30.95'],
 ['Nico Rabinowitz', '212', '31.03'],
 ['Ben Jaggers', '213', '31.14'],
 ['Alexander Zhao', '214', '31.16'],
 ['Mathew Zagaroli', '215', '31.19'],
 ['deren Akselioglu', '215', '31.19'],
 ['Gavin Schinkelshoek', '217', '31.26'],
 ['Liam Haas', '218', '31.27'],
 ['Daniil Siutsou', '219', '31.29'],
 ['Rocco Tajc', '220', '31.38'],
 ['Andrew Badovych', '220', '31.38'],
 ['Adrian Lisiewski', '222', '31.40'],
